"BR_B__Xs_gamma [0, 0]","BR_Bs__mu_mu [0, 0]"
0.000313876,2.78341e-09
0.000311732,2.8662e-09
0.000336917,3.20281e-09
0.000313092,3.01751e-09
0.000280339,3.57924e-09
0.000272406,2.90779e-09
0.000286438,3.09938e-09
0.000324462,2.78401e-09
0.000361181,3.54595e-09
0.000435832,3.29498e-09
0.000255206,3.28843e-09
0.000285744,3.39347e-09
0.000337047,3.46343e-09
0.000303469,3.68961e-09
0.000294522,3.55161e-09
0.000338638,2.96399e-09
0.000326621,3.07664e-09
0.000357214,3.61339e-09
0.000343128,3.18039e-09
0.000275036,3.36252e-09
0.000348126,2.61351e-09
0.000283154,2.70284e-09
0.000356741,2.99018e-09
0.000319574,4.05421e-09
0.000300468,3.23504e-09
0.000285655,3.48153e-09
0.000297248,3.66361e-09
0.000365576,2.73659e-09
0.000289005,3.23737e-09
0.000358754,3.53222e-09
0.000313717,3.13712e-09
0.000280423,3.22575e-09
0.000378404,2.64211e-09
0.00034839,3.11647e-09
0.000340504,3.028e-09
0.000352355,2.88123e-09
0.000321592,2.90018e-09
0.000383172,3.32107e-09
0.000348776,3.1168e-09
0.000321964,3.28435e-09
0.000413448,3.36434e-09
0.000398037,3.82455e-09
0.000382346,3.21334e-09
0.000346194,3.39922e-09
0.000297894,4.05935e-09
0.000421098,3.41412e-09
0.000331889,3.2249e-09
0.000415006,2.97941e-09
0.000298182,3.52927e-09
0.000341781,3.74545e-09
0.000345744,2.52596e-09
0.000383313,3.30408e-09
0.000319086,3.53277e-09
0.000268539,3.25528e-09
0.000279777,3.28786e-09
0.000413714,3.3643e-09
0.000310729,3.70666e-09
0.000285255,3.80438e-09
0.000309988,3.61139e-09
0.000411353,2.83596e-09
0.000372383,3.08862e-09
0.000282994,3.0449e-09
0.000473366,3.58589e-09
0.000320133,3.36528e-09
0.000349616,3.69807e-09
0.000309675,3.68565e-09
0.000481144,3.7111e-09
0.000300034,3.19155e-09
0.000278247,2.90101e-09
0.000369127,3.63615e-09
0.000409238,4.00514e-09
0.000334321,2.85265e-09
0.000309134,3.5906e-09
0.000424817,2.42375e-09
0.000393869,3.46846e-09
0.000400552,3.63819e-09
0.000395078,3.36837e-09
0.000307719,3.24716e-09
0.00026719,3.34949e-09
0.000284629,3.28004e-09
0.00036488,3.12831e-09
0.00032083,3.4775e-09
0.000325589,3.55047e-09
0.000271544,3.05969e-09
0.000272811,3.11194e-09
0.000310397,3.78589e-09
0.000307514,2.96639e-09
0.00038408,3.29225e-09
0.000398984,2.45895e-09
0.000400662,3.03812e-09
0.000347174,3.19133e-09
0.000284541,3.10646e-09
0.000355681,3.85971e-09
0.000268413,3.24803e-09
0.000339917,2.93842e-09
0.000345209,3.5194e-09
